id_appel_offre,titre,description,categorie_marche,secteur,organisme_emetteur,pays,region,ville,date_publication,date_limite,date_resultat,budget_estime,soumissionnaires,montants_soumis,soumissionnaire_gagnant,montant_gagnant,montant_moyen,ecart_montant_vs_budget,delai_execution,type_procedure,critere_attribution,nombre_soumissionnaires,historique_gagnant_dans_les_3_derniers_ao,nombre_ao_gagnes_par_gagnant,experience_gagnant,notation_technique_gagnant,statut_ao,motif_annulation,notes_techniques_non_gagnants,capacites_financieres,experiences_non_gagnants,historiques_non_gagnants,complexite_projet,exigences_techniques_detaillees,localisations_soumissionnaires,tailles_entreprises,contexte_economique,poids_criteres_attribution,historique_ao_similaires,details_annulations
6687,Appel d'offre pour médical à El Jadida,Marché public concernant le secteur médical pour Agence Nationale de la Conservation Foncière,Fournitures,Médical,Agence Nationale de la Conservation Foncière,Maroc,Dakhla-Oued Ed-Dahab,El Jadida,2025-07-13,2025-08-10,2025-08-15,18204173 DH,COSUMAR; SUEZ; BOUYGUES; AMENDIS; TOTAL MAROC; EIFFAGE; MANAGEM,19648505.54; 15770423.39; 15233079.2; 16310465.29; 14832425.53; 21139517.15; 14941362.67,TOTAL MAROC,14832425.53 DH,16839396.97 DH,-0.1852,277,Procédure négociée,Meilleure offre économiquement,7,Non,14,5,100,Sans suite,Manque de budget,86; 80; 80; 87; 63; 64,454275384; 19628259; 360431210; 290493666; 174237497; 209105950; 96693241,20; 23; 23; 13; 23; 3,9; 10; 10; 3; 13; 8,Élevée,"Normes ISO 9001, Technologies innovantes",Nador; Tanger; Agadir; Berrechid; El Jadida; Agadir; Salé,Grande entreprise; ETI; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; PME,"Inflation: 1.9%, Croissance: 4.1%","Technique: 71%, Prix: 29%",Derniers 12 mois: 17 AO similaires,Taux d'annulation secteur: 8%
6688,Appel d'offre pour sécurité à Casablanca,Marché public concernant le secteur sécurité pour Barid Al-Maghrib,Fournitures,Sécurité,Barid Al-Maghrib,Maroc,Casablanca-Settat,Casablanca,2025-07-13,2025-09-10,2025-09-24,23675349 DH,TECHNO PARK; VINCI; BOUYGUES; CHINA RAILWAY; OCP; SHELL MAROC,19784246.44; 26107159.03; 22561424.59; 24859787.62; 26518908.04; 28250009.51,OCP,26518908.04 DH,24680255.87 DH,0.1201,336,Appel d'offres ouvert,Rapport qualité-prix,6,Non,4,18,98,Sans suite,Offres trop élevées,79; 64; 60; 89; 77,110237448; 122305490; 135699911; 448654467; 110295548; 137695740,25; 25; 21; 23; 14,1; 14; 1; 6; 12,Très élevée,"Normes ISO 27001, Technologies avancées",Beni Mellal; Khouribga; Beni Mellal; Casablanca; Casablanca; Beni Mellal,PME; Grande entreprise; PME; PME; PME; PME,"Inflation: 1.9%, Croissance: 3.6%","Technique: 53%, Prix: 47%",Derniers 12 mois: 31 AO similaires,Taux d'annulation secteur: 18%
6689,Appel d'offre pour agriculture à Tanger,Marché public concernant le secteur agriculture pour Agence Nationale de Réglementation des Télécommunications,Fournitures,Agriculture,Agence Nationale de Réglementation des Télécommunications,Maroc,Souss-Massa,Tanger,2025-07-13,2025-09-08,2025-09-11,26790679 DH,SGTM; AMENDIS; MAJOREL; SOMAGEC; SAHAM; OCP; MICROSOFT MAROC; TOTAL MAROC,31461154.42; 27822339.72; 26597769.34; 25378081.41; 25389244.92; 28763425.01; 28433831.11; 25484428.33,SOMAGEC,25378081.41 DH,27416284.28 DH,-0.0527,301,Gré à gré,Rapport qualité-prix,8,Oui,10,11,93,Sans suite,Non-conformité des offres,81; 94; 64; 89; 99; 95; 79,137993805; 478539323; 24168623; 319627027; 341280011; 273731096; 466297426; 281627010,21; 17; 8; 11; 16; 9; 13,12; 10; 3; 10; 4; 1; 15,Moyenne,"Normes ISO 14001, Technologies modernes",Agadir; Safi; Kenitra; Marrakech; Salé; Oujda; Rabat; Settat,ETI; Grande entreprise; PME; Grande entreprise; PME; Moyenne entreprise; Grande entreprise; Grande entreprise,"Inflation: 2.2%, Croissance: 3.8%","Technique: 76%, Prix: 24%",Derniers 12 mois: 40 AO similaires,Taux d'annulation secteur: 7%
6690,Appel d'offre pour énergie à Nador,Marché public concernant le secteur énergie pour Ministère de l'Équipement,Fournitures,Énergie,Ministère de l'Équipement,Maroc,Dakhla-Oued Ed-Dahab,Nador,2025-07-13,2025-08-07,2025-08-15,16017893 DH,TOTAL MAROC; INGEMA; SAHAM; MANAGEM; TGCC; MAGHREB STEEL; SUEZ; CHINA RAILWAY,18646920.04; 17236096.11; 16210838.3; 13857006.55; 18121178.78; 15000952.19; 13701400.23; 17169102.0,MANAGEM,13857006.55 DH,16242936.78 DH,-0.1349,74,Procédure négociée,Rapport qualité-prix,8,Oui,14,18,99,Attribué,Non applicable,87; 91; 72; 63; 66; 82; 92,155286628; 345772375; 345897665; 117269622; 321738718; 479493361; 479382384; 374375257,13; 8; 11; 22; 11; 5; 21,5; 8; 8; 7; 6; 7; 3,Très élevée,"Normes ISO 27001, Technologies avancées",Tanger; Beni Mellal; Safi; Settat; Berrechid; Kenitra; Kenitra; Meknès,ETI; PME; Grande entreprise; Grande entreprise; PME; ETI; PME; PME,"Inflation: 2.4%, Croissance: 4.0%","Technique: 57%, Prix: 43%",Derniers 12 mois: 22 AO similaires,Taux d'annulation secteur: 5%
6691,Appel d'offre pour formation à El Jadida,Marché public concernant le secteur formation pour Royal Air Maroc,Services,Formation,Royal Air Maroc,Maroc,Casablanca-Settat,El Jadida,2025-07-13,2025-08-10,2025-08-13,23185674 DH,OCP; MAJOREL; SOREAD,23948571.07; 20711311.11; 24993430.3,MAJOREL,20711311.11 DH,23217770.83 DH,-0.1067,68,Appel d'offres ouvert,Meilleure offre économiquement,3,Oui,5,5,86,Sans suite,Absence d'offres,81; 65,439269757; 299253281; 206545345,15; 24,13; 10,Moyenne,"Normes ISO 45001, Technologies innovantes",Marrakech; Agadir; Tanger,PME; Moyenne entreprise; Moyenne entreprise,"Inflation: 3.0%, Croissance: 3.3%","Technique: 53%, Prix: 47%",Derniers 12 mois: 34 AO similaires,Taux d'annulation secteur: 7%
6692,Appel d'offre pour sécurité à Marrakech,Marché public concernant le secteur sécurité pour Agence Nationale de la Conservation Foncière,Fournitures,Sécurité,Agence Nationale de la Conservation Foncière,Maroc,Oriental,Marrakech,2025-07-13,2025-08-29,2025-09-07,19257235 DH,COSUMAR; SOGEA; MAGHREB STEEL; SGTM; OCP; ATLAS HOSPITALITY; INGEMA,21490457.7; 20116383.08; 19444048.06; 20149839.89; 18900542.26; 23058944.03; 19508244.54,MAGHREB STEEL,19444048.06 DH,20381208.51 DH,0.0097,275,Appel d'offres restreint,Critères multiples,7,Oui,15,11,97,Annulé,Manque de budget,70; 64; 64; 82; 63; 89,122894946; 437256211; 350730584; 73610231; 447531698; 61607303; 472660205,19; 13; 24; 23; 24; 17,0; 14; 5; 14; 5; 5,Élevée,"Normes ISO 9001, Technologies éprouvées",Berrechid; Rabat; Temara; Tanger; Tanger; Khouribga; Beni Mellal,Moyenne entreprise; Moyenne entreprise; Grande entreprise; Grande entreprise; ETI; PME; Moyenne entreprise,"Inflation: 3.7%, Croissance: 3.6%","Technique: 67%, Prix: 33%",Derniers 12 mois: 19 AO similaires,Taux d'annulation secteur: 8%
6693,Appel d'offre pour transport à Settat,Marché public concernant le secteur transport pour Royal Air Maroc,Fournitures,Transport,Royal Air Maroc,Maroc,Drâa-Tafilalet,Settat,2025-07-13,2025-08-16,2025-08-23,48509695 DH,INWI; MANAGEM; CISCO MAROC; EIFFAGE; AFRIQUIA,48294059.44; 51654004.91; 55900382.31; 54850435.06; 48085319.58,AFRIQUIA,48085319.58 DH,51756840.26 DH,-0.0087,166,Appel d'offres restreint,Critères multiples,5,Non,5,7,96,Sans suite,Manque de budget,70; 98; 68; 86,98772506; 103138458; 214748264; 166530961; 289235444,25; 8; 7; 7,0; 14; 4; 8,Moyenne,"Normes ISO 9001, Technologies innovantes",Casablanca; Khouribga; Safi; Agadir; Khouribga,Moyenne entreprise; ETI; Grande entreprise; ETI; PME,"Inflation: 2.2%, Croissance: 4.5%","Technique: 45%, Prix: 55%",Derniers 12 mois: 28 AO similaires,Taux d'annulation secteur: 8%
6694,Appel d'offre pour formation à Kenitra,Marché public concernant le secteur formation pour Ministère de l'Éducation,Services,Formation,Ministère de l'Éducation,Maroc,Rabat-Salé-Kénitra,Kenitra,2025-07-13,2025-08-09,2025-08-16,22446662 DH,OCP; SUEZ; CDG; SHELL MAROC; MAROC TELECOM; SOGEC; MAJOREL; TRAVOCÉAN,18385028.41; 25919911.28; 19895119.54; 23294363.36; 23526331.37; 22047415.63; 21002776.56; 23573948.81,OCP,18385028.41 DH,22205611.87 DH,-0.1809,160,Appel d'offres restreint,Prix seul,8,Oui,1,23,99,Attribué,Non applicable,98; 77; 76; 98; 79; 62; 93,402786205; 54519968; 365003953; 385480937; 168523787; 224228573; 345252148; 16331460,9; 8; 23; 21; 6; 5; 3,11; 9; 11; 7; 11; 13; 10,Moyenne,"Normes ISO 45001, Technologies certifiées",El Jadida; Settat; Fès; Settat; Tanger; Tétouan; Tétouan; Salé,Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; ETI; Moyenne entreprise; ETI; PME; PME,"Inflation: 1.3%, Croissance: 2.7%","Technique: 65%, Prix: 35%",Derniers 12 mois: 6 AO similaires,Taux d'annulation secteur: 17%
6695,Appel d'offre pour formation à Beni Mellal,Marché public concernant le secteur formation pour Office National des Aéroports,Fournitures,Formation,Office National des Aéroports,Maroc,Béni Mellal-Khénifra,Beni Mellal,2025-07-13,2025-08-23,2025-09-05,37269029 DH,ATTIJARI; COSUMAR; CIMAR; DELTA HOLDING; SHELL MAROC; TRAVOCÉAN; CISCO MAROC,36595345.41; 43483410.26; 40722009.42; 36109090.19; 36818907.18; 37280767.0; 41954211.26,SHELL MAROC,36818907.18 DH,38994820.10 DH,-0.0121,320,Procédure négociée,Meilleure offre économiquement,7,Non,12,8,90,Sans suite,Contraintes réglementaires,83; 73; 92; 86; 64; 80,482026687; 36712874; 181929595; 393211310; 372040650; 312739365; 263027290,21; 12; 21; 20; 14; 11,3; 3; 9; 14; 5; 11,Élevée,"Normes ISO 14001, Technologies innovantes",Rabat; Mohammedia; Settat; Temara; Marrakech; Fès; Oujda,ETI; ETI; Moyenne entreprise; Moyenne entreprise; PME; Moyenne entreprise; ETI,"Inflation: 1.8%, Croissance: 3.7%","Technique: 78%, Prix: 22%",Derniers 12 mois: 40 AO similaires,Taux d'annulation secteur: 12%
6696,Appel d'offre pour sécurité à Salé,Marché public concernant le secteur sécurité pour Agence Nationale de Réglementation des Télécommunications,Travaux,Sécurité,Agence Nationale de Réglementation des Télécommunications,Maroc,Fès-Meknès,Salé,2025-07-13,2025-08-13,2025-08-22,23369814 DH,INWI; COVEC; SAHAM; MAROC TELECOM; INGEMA; COSUMAR; Novec,26478249.66; 20460967.33; 23081189.13; 20651821.96; 26736070.76; 21002760.34; 22800068.5,COSUMAR,21002760.34 DH,23030161.10 DH,-0.1013,56,Appel d'offres ouvert,Prix seul,7,Non,15,17,88,Attribué,Non applicable,99; 84; 76; 80; 78; 73,88391585; 195178429; 130041591; 91141792; 457210957; 195143222; 276288361,17; 6; 23; 10; 17; 3,8; 3; 7; 4; 9; 4,Moyenne,"Normes ISO 9001, Technologies innovantes",Marrakech; Nador; Mohammedia; Tanger; Safi; Mohammedia; Rabat,Grande entreprise; Grande entreprise; Grande entreprise; PME; Moyenne entreprise; Moyenne entreprise; Grande entreprise,"Inflation: 3.4%, Croissance: 2.7%","Technique: 48%, Prix: 52%",Derniers 12 mois: 12 AO similaires,Taux d'annulation secteur: 6%
6697,Appel d'offre pour conseil à Marrakech,Marché public concernant le secteur conseil pour Ministère de la Justice,Fournitures,Conseil,Ministère de la Justice,Maroc,Souss-Massa,Marrakech,2025-07-13,2025-09-06,2025-09-14,15880563 DH,MANAGEM; HP MAROC; TECHNO PARK,15779678.24; 13717721.05; 13578832.63,TECHNO PARK,13578832.63 DH,14358743.97 DH,-0.1449,98,Appel d'offres restreint,Prix seul,3,Non,8,9,82,Annulé,Insuffisance technique,75; 77,280540553; 33982184; 259383135,19; 13,11; 7,Faible,"Normes ISO 45001, Technologies avancées",Berrechid; Berrechid; Berrechid,PME; Grande entreprise; PME,"Inflation: 2.7%, Croissance: 4.0%","Technique: 67%, Prix: 33%",Derniers 12 mois: 42 AO similaires,Taux d'annulation secteur: 15%
6698,Appel d'offre pour btp à Oujda,Marché public concernant le secteur btp pour Barid Al-Maghrib,Fournitures,BTP,Barid Al-Maghrib,Maroc,Casablanca-Settat,Oujda,2025-07-13,2025-08-28,2025-09-02,38013456 DH,SOGEC; TOTAL MAROC; OCP; DELL MAROC; VEOLIA,33365196.37; 40395819.16; 40997489.26; 42099150.19; 42784629.96,SOGEC,33365196.37 DH,39928456.99 DH,-0.1223,350,Procédure négociée,Rapport qualité-prix,5,Non,3,13,99,Annulé,Offres trop élevées,80; 75; 64; 87,60655366; 274926192; 95079234; 12322534; 162007741,4; 14; 8; 11,14; 13; 14; 10,Élevée,"Normes ISO 45001, Technologies modernes",Nador; Safi; El Jadida; El Jadida; Tanger,Moyenne entreprise; PME; ETI; PME; PME,"Inflation: 2.4%, Croissance: 3.3%","Technique: 45%, Prix: 55%",Derniers 12 mois: 39 AO similaires,Taux d'annulation secteur: 14%
6699,Appel d'offre pour sécurité à Berrechid,Marché public concernant le secteur sécurité pour Ministère de la Santé,Fournitures,Sécurité,Ministère de la Santé,Maroc,Fès-Meknès,Berrechid,2025-07-13,2025-08-06,2025-08-20,41647534 DH,SOMAGEC; SUEZ; HP MAROC,48429350.6; 34456082.87; 42128130.17,SUEZ,34456082.87 DH,41671187.88 DH,-0.1727,348,Procédure négociée,Prix seul,3,Oui,2,17,79,Sans suite,Changement de priorités,60; 69,420905669; 151017098; 258375947,13; 16,3; 9,Élevée,"Normes ISO 14001, Technologies éprouvées",El Jadida; Tétouan; Oujda,Grande entreprise; Grande entreprise; Grande entreprise,"Inflation: 2.4%, Croissance: 4.8%","Technique: 57%, Prix: 43%",Derniers 12 mois: 47 AO similaires,Taux d'annulation secteur: 8%
6700,Appel d'offre pour énergie à Fès,Marché public concernant le secteur énergie pour Office National des Aéroports,Services,Énergie,Office National des Aéroports,Maroc,Marrakech-Safi,Fès,2025-07-13,2025-09-10,2025-09-25,12603875 DH,SAHAM; OCP; LAFARGE; TGCC; SOMAGEC; MAJOREL; HOLCIM,12089924.38; 13145923.4; 14854152.36; 13834533.1; 14341497.95; 10106974.34; 13129772.2,MAJOREL,10106974.34 DH,13071825.39 DH,-0.1981,164,Procédure négociée,Rapport qualité-prix,7,Non,15,25,89,Annulé,Non-conformité des offres,95; 85; 62; 73; 66; 91,72795167; 36767723; 323584100; 97154148; 385006798; 109784864; 473913773,5; 11; 20; 19; 24; 21,3; 8; 2; 5; 15; 5,Très élevée,"Normes ISO 45001, Technologies certifiées",El Jadida; Rabat; Berrechid; Salé; Salé; El Jadida; Oujda,Grande entreprise; Grande entreprise; Grande entreprise; ETI; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise,"Inflation: 3.8%, Croissance: 2.8%","Technique: 40%, Prix: 60%",Derniers 12 mois: 32 AO similaires,Taux d'annulation secteur: 6%
6701,Appel d'offre pour fournitures scolaires à Temara,Marché public concernant le secteur fournitures scolaires pour Caisse de Dépôt et de Gestion,Travaux,Fournitures scolaires,Caisse de Dépôt et de Gestion,Maroc,Rabat-Salé-Kénitra,Temara,2025-07-13,2025-09-06,2025-09-21,16768078 DH,WAFA; EIFFAGE; SUEZ; BOUYGUES; INWI; TRAVOCÉAN,18237113.72; 18452064.81; 14081142.03; 18551142.03; 20067719.93; 16586244.43,BOUYGUES,18551142.03 DH,17662571.16 DH,0.1063,91,Appel d'offres ouvert,Rapport qualité-prix,6,Non,13,23,99,Sans suite,Offres trop élevées,63; 98; 74; 88; 85,403016549; 232386920; 371583375; 26624149; 142687985; 155203819,22; 5; 9; 24; 18,11; 7; 2; 2; 7,Élevée,"Normes ISO 22000, Technologies avancées",Rabat; Kenitra; Mohammedia; Khouribga; Nador; Safi,Grande entreprise; Grande entreprise; PME; PME; Grande entreprise; PME,"Inflation: 1.3%, Croissance: 4.3%","Technique: 77%, Prix: 23%",Derniers 12 mois: 42 AO similaires,Taux d'annulation secteur: 17%
6702,Appel d'offre pour formation à El Jadida,Marché public concernant le secteur formation pour Ministère de l'Agriculture,Fournitures,Formation,Ministère de l'Agriculture,Maroc,Dakhla-Oued Ed-Dahab,El Jadida,2025-07-13,2025-08-21,2025-08-30,7123947 DH,CHINA RAILWAY; LAFARGE; CISCO MAROC; OCP; BMCE; ORANGE MAROC,6762517.71; 7463197.9; 7985451.3; 7186074.84; 7283104.45; 7336651.01,LAFARGE,7463197.9 DH,7336166.20 DH,0.0476,157,Concours,Prix seul,6,Oui,4,20,93,Attribué,Non applicable,74; 94; 86; 83; 67,442668990; 114301342; 468428099; 40764718; 486126430; 381451777,20; 7; 22; 7; 11,2; 3; 0; 6; 5,Très élevée,"Normes ISO 22000, Technologies éprouvées",Nador; Settat; Temara; Berrechid; Kenitra; Mohammedia,Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; ETI; PME; Grande entreprise,"Inflation: 2.3%, Croissance: 3.1%","Technique: 45%, Prix: 55%",Derniers 12 mois: 34 AO similaires,Taux d'annulation secteur: 16%
6703,Appel d'offre pour sécurité à El Jadida,Marché public concernant le secteur sécurité pour Office de la Formation Professionnelle,Fournitures,Sécurité,Office de la Formation Professionnelle,Maroc,Laâyoune-Sakia El Hamra,El Jadida,2025-07-13,2025-08-12,2025-08-23,37528728 DH,ATLAS HOSPITALITY; CAPGEMINI MAROC; TOTAL MAROC; WAFA,43955828.49; 37827348.58; 43592506.85; 34185341.79,ATLAS HOSPITALITY,43955828.49 DH,39890256.43 DH,0.1713,308,Concours,Rapport qualité-prix,4,Non,6,14,80,Annulé,Non-conformité des offres,71; 73; 64,232528791; 72629874; 380989116; 239993996,16; 14; 14,9; 7; 2,Faible,"Normes ISO 14001, Technologies innovantes",Agadir; El Jadida; Fès; Berrechid,PME; Grande entreprise; Moyenne entreprise; PME,"Inflation: 2.4%, Croissance: 3.1%","Technique: 51%, Prix: 49%",Derniers 12 mois: 48 AO similaires,Taux d'annulation secteur: 17%
6704,Appel d'offre pour btp à Fès,Marché public concernant le secteur btp pour Ministère de l'Agriculture,Fournitures,BTP,Ministère de l'Agriculture,Maroc,Dakhla-Oued Ed-Dahab,Fès,2025-07-13,2025-09-04,2025-09-07,3999094 DH,HOLCIM; ATLAS HOSPITALITY; COSUMAR,4145245.53; 4162869.97; 4763935.32,HOLCIM,4145245.53 DH,4357350.27 DH,0.0365,171,Procédure négociée,Prix seul,3,Oui,7,16,95,Sans suite,Changement de priorités,75; 75,83433836; 338595435; 93745138,8; 21,0; 9,Élevée,"Normes ISO 22000, Technologies modernes",El Jadida; Oujda; Casablanca,ETI; ETI; Moyenne entreprise,"Inflation: 1.7%, Croissance: 2.8%","Technique: 74%, Prix: 26%",Derniers 12 mois: 13 AO similaires,Taux d'annulation secteur: 6%
6705,Appel d'offre pour transport à Tanger,Marché public concernant le secteur transport pour Office National des Chemins de Fer,Services,Transport,Office National des Chemins de Fer,Maroc,Rabat-Salé-Kénitra,Tanger,2025-07-13,2025-08-11,2025-08-15,8886327 DH,TRAVOCÉAN; ATLAS HOSPITALITY; VEOLIA,9764944.19; 8436029.98; 7408234.11,ATLAS HOSPITALITY,8436029.98 DH,8536402.76 DH,-0.0507,139,Procédure négociée,Prix seul,3,Oui,9,9,98,Sans suite,Non-conformité des offres,94; 66,201783897; 202568480; 206544796,19; 16,2; 5,Faible,"Normes ISO 22000, Technologies éprouvées",Beni Mellal; Safi; Oujda,PME; PME; Grande entreprise,"Inflation: 3.8%, Croissance: 2.1%","Technique: 53%, Prix: 47%",Derniers 12 mois: 20 AO similaires,Taux d'annulation secteur: 6%
6706,Appel d'offre pour sécurité à Tanger,Marché public concernant le secteur sécurité pour Office National de l'Électricité et de l'Eau Potable,Travaux,Sécurité,Office National de l'Électricité et de l'Eau Potable,Maroc,Béni Mellal-Khénifra,Tanger,2025-07-13,2025-08-07,2025-08-20,11055376 DH,HOLCIM; DELTA HOLDING; Novec; INWI,11420783.22; 12178302.29; 13063080.57; 11974922.24,INWI,11974922.24 DH,12159272.08 DH,0.0832,299,Procédure négociée,Prix seul,4,Oui,14,3,86,Annulé,Contraintes réglementaires,73; 79; 87,329336298; 197896521; 401030889; 335850813,24; 22; 17,12; 13; 10,Faible,"Normes ISO 22000, Technologies éprouvées",Safi; Rabat; Kenitra; Tanger,ETI; PME; ETI; PME,"Inflation: 2.4%, Croissance: 4.0%","Technique: 46%, Prix: 54%",Derniers 12 mois: 24 AO similaires,Taux d'annulation secteur: 6%
6707,Appel d'offre pour maintenance à Casablanca,Marché public concernant le secteur maintenance pour Agence Nationale de la Conservation Foncière,Services,Maintenance,Agence Nationale de la Conservation Foncière,Maroc,Dakhla-Oued Ed-Dahab,Casablanca,2025-07-13,2025-09-07,2025-09-12,27150893 DH,BOUYGUES; MAJOREL; ATTIJARI; SAHAM; TGCC; MAGHREB STEEL,24059067.76; 24300636.74; 31231240.92; 23000910.7; 27619589.69; 29926218.41,MAJOREL,24300636.74 DH,26689610.70 DH,-0.105,203,Procédure négociée,Rapport qualité-prix,6,Non,15,14,94,Sans suite,Budget insuffisant,92; 68; 70; 61; 69,142182380; 354720232; 56489663; 74141677; 302812300; 98736360,14; 18; 3; 24; 12,15; 3; 14; 6; 14,Élevée,"Normes ISO 22000, Technologies innovantes",Nador; Tanger; Agadir; Khouribga; Settat; El Jadida,Moyenne entreprise; Moyenne entreprise; ETI; PME; Grande entreprise; ETI,"Inflation: 3.9%, Croissance: 4.1%","Technique: 42%, Prix: 58%",Derniers 12 mois: 18 AO similaires,Taux d'annulation secteur: 13%
6708,Appel d'offre pour transport à Berrechid,Marché public concernant le secteur transport pour Ministère de l'Équipement,Travaux,Transport,Ministère de l'Équipement,Maroc,Béni Mellal-Khénifra,Berrechid,2025-07-13,2025-08-21,2025-08-29,35864458 DH,EIFFAGE; SAHAM; WAFA; TGCC; SUEZ; SGTM,31659191.14; 40063377.42; 30394660.53; 42193458.85; 39375496.64; 33792868.53,SGTM,33792868.53 DH,36246508.85 DH,-0.0578,180,Procédure négociée,Critères multiples,6,Non,3,4,93,Attribué,Non applicable,75; 63; 61; 66; 76,248350602; 219187869; 370880292; 475950783; 144374370; 80633365,3; 8; 21; 8; 19,1; 9; 14; 4; 13,Élevée,"Normes ISO 22000, Technologies modernes",Berrechid; Rabat; El Jadida; Beni Mellal; Fès; Nador,ETI; Grande entreprise; Moyenne entreprise; Grande entreprise; Grande entreprise; Grande entreprise,"Inflation: 2.2%, Croissance: 4.0%","Technique: 42%, Prix: 58%",Derniers 12 mois: 44 AO similaires,Taux d'annulation secteur: 6%
6709,Appel d'offre pour maintenance à Khouribga,Marché public concernant le secteur maintenance pour Office National des Hydrocarbures,Services,Maintenance,Office National des Hydrocarbures,Maroc,Dakhla-Oued Ed-Dahab,Khouribga,2025-07-13,2025-08-04,2025-08-11,34503775 DH,CHINA RAILWAY; SUEZ; LYDEC,36729356.72; 36538430.85; 27882615.49,LYDEC,27882615.49 DH,33716801.02 DH,-0.1919,64,Appel d'offres restreint,Critères multiples,3,Oui,6,21,70,Attribué,Non applicable,75; 61,82814201; 117137021; 35221999,13; 8,3; 11,Très élevée,"Normes ISO 22000, Technologies avancées",El Jadida; Nador; Meknès,PME; Grande entreprise; ETI,"Inflation: 2.7%, Croissance: 3.3%","Technique: 63%, Prix: 37%",Derniers 12 mois: 11 AO similaires,Taux d'annulation secteur: 12%
6710,Appel d'offre pour télécommunications à Beni Mellal,Marché public concernant le secteur télécommunications pour Ministère de l'Agriculture,Fournitures,Télécommunications,Ministère de l'Agriculture,Maroc,Fès-Meknès,Beni Mellal,2025-07-13,2025-08-22,2025-09-03,5703603 DH,SOREAD; SOMAGEC; ATTIJARI; CAPGEMINI MAROC; MAGHREB STEEL,6151579.27; 5660634.58; 6332027.9; 6066315.67; 5409844.97,CAPGEMINI MAROC,6066315.67 DH,5924080.48 DH,0.0636,71,Appel d'offres restreint,Meilleure offre économiquement,5,Non,15,17,86,Annulé,Offres trop élevées,63; 75; 61; 63,352725900; 37927395; 432654551; 381338339; 392778070,23; 17; 17; 20,7; 11; 15; 8,Très élevée,"Normes ISO 14001, Technologies innovantes",Agadir; Salé; Fès; Fès; Tétouan,ETI; PME; Moyenne entreprise; Moyenne entreprise; ETI,"Inflation: 2.6%, Croissance: 4.9%","Technique: 57%, Prix: 43%",Derniers 12 mois: 10 AO similaires,Taux d'annulation secteur: 6%
6711,Appel d'offre pour conseil à Nador,Marché public concernant le secteur conseil pour Royal Air Maroc,Travaux,Conseil,Royal Air Maroc,Maroc,Souss-Massa,Nador,2025-07-13,2025-08-31,2025-09-06,48973888 DH,CAPGEMINI MAROC; MICROSOFT MAROC; Novec; SOMAGEC; ATTIJARI; INGEMA; INWI,41675146.6; 44742908.36; 47355888.4; 41190760.12; 44617998.72; 42387775.46; 55555540.45,INGEMA,42387775.46 DH,45360859.73 DH,-0.1345,176,Appel d'offres restreint,Critères multiples,7,Oui,6,3,91,Annulé,Insuffisance technique,68; 80; 95; 85; 62; 93,293973087; 493937852; 177641890; 192440907; 300258413; 486342832; 190264841,12; 19; 15; 11; 12; 15,7; 3; 6; 13; 10; 3,Faible,"Normes ISO 27001, Technologies modernes",Tétouan; Settat; Safi; Berrechid; El Jadida; Beni Mellal; Oujda,Moyenne entreprise; Grande entreprise; ETI; PME; ETI; PME; Grande entreprise,"Inflation: 3.3%, Croissance: 4.4%","Technique: 46%, Prix: 54%",Derniers 12 mois: 8 AO similaires,Taux d'annulation secteur: 20%
6712,Appel d'offre pour maintenance à Tétouan,Marché public concernant le secteur maintenance pour Barid Al-Maghrib,Travaux,Maintenance,Barid Al-Maghrib,Maroc,Rabat-Salé-Kénitra,Tétouan,2025-07-13,2025-09-03,2025-09-09,20755358 DH,HOLCIM; CIMAR; MAGHREB STEEL; INWI; REDAL,20863396.17; 23602682.01; 18418250.08; 16774069.19; 19821460.02,MAGHREB STEEL,18418250.08 DH,19895971.49 DH,-0.1126,331,Procédure négociée,Rapport qualité-prix,5,Non,5,5,94,Sans suite,Insuffisance technique,71; 87; 67; 92,471904826; 208401179; 152235280; 93292407; 253079843,9; 13; 16; 6,14; 2; 7; 15,Élevée,"Normes ISO 9001, Technologies éprouvées",Salé; Kenitra; Meknès; Settat; Beni Mellal,ETI; Moyenne entreprise; Moyenne entreprise; ETI; PME,"Inflation: 3.3%, Croissance: 4.9%","Technique: 52%, Prix: 48%",Derniers 12 mois: 31 AO similaires,Taux d'annulation secteur: 18%
