reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-7168,Services de sécurité et gardiennage,47 667 034 DH,2025-08-11,Caisse Nationale de Sécurité Sociale,"61, rue Marguerite Laporte, Rabat",01 78 84 52 44,04 58 46 49 41,321 jours,62 jours,259 jours,Caution provisoire; Attestation CNSS; Certificat de qualification et classification; Procuration (si applicable); Registre de commerce,Planning d'exécution; CV des intervenants; Note technique détaillée,Acte d'engagement; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,Ingénieur d'État,19 ans,Normes ISO; Expertise sectorielle; Gestion de projet,Master spécialisé,19 ans,Formation; Planification; Expertise sectorielle,Ingénieur d'État,9 ans,Normes ISO; Contrôle qualité; Analyse technique; Expertise sectorielle,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-2818,Maintenance des équipements électriques,46 440 030 DH,2025-07-18,Agence Nationale de la Conservation Foncière,"95, avenue de Gomez, Tanger",+33 (0)1 64 87 78 25,06 38 58 27 26,236 jours,56 jours,180 jours,Registre de commerce; Attestation CNSS; Certificat de qualification et classification; Caution provisoire; Procuration (si applicable),CV des intervenants; Note technique détaillée; Certificats de conformité,Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années; Acte d'engagement,Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales,Doctorat,12 ans,Planification; Analyse technique; Gestion de projet,Master en management,14 ans,Planification; Management d'équipe; Normes ISO,Master spécialisé,7 ans,Expertise sectorielle; Formation; Management d'équipe; Normes ISO; Audit technique,66%,34%,60%,66%,34%,True,www.marchespublics.gov.ma
AO-2025-1046,Fourniture de véhicules administratifs,12 294 279 DH,2025-08-03,Ministère de l'Intérieur,"18, chemin Céline Alves, Casablanca",+33 6 95 64 53 57,03 53 04 34 20,349 jours,122 jours,227 jours,Procuration (si applicable); Registre de commerce; Certificat de qualification et classification,Références similaires; Certificats de conformité; Planning d'exécution,Bordereau des prix unitaires; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé,Doctorat,15 ans,Formation; Normes ISO; Management d'équipe; Analyse technique; Gestion de projet,Doctorat,20 ans,Planification; Contrôle qualité; Analyse technique; Normes ISO; Formation,Master spécialisé,7 ans,Formation; Normes ISO; Contrôle qualité; Analyse technique,68%,32%,60%,68%,32%,True,www.marchespublics.gov.ma
AO-2025-5127,Travaux de rénovation de bâtiments,41 624 152 DH,2025-08-07,Agence Nationale de la Conservation Foncière,"avenue Leclercq, Khouribga",+33 5 49 02 89 56,01 43 43 94 93,295 jours,88 jours,207 jours,Caution provisoire; Certificat de qualification et classification; Attestation fiscale; Procuration (si applicable); Attestation CNSS,Attestations de formation; CV des intervenants; Planning d'exécution; Références similaires; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Attestation bancaire,Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum,Doctorat,6 ans,Contrôle qualité; Gestion de projet; Formation; Analyse technique,MBA,13 ans,Planification; Gestion de projet; Contrôle qualité; Management d'équipe,Doctorat,13 ans,Audit technique; Normes ISO; Analyse technique; Formation; Expertise sectorielle,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-8851,Services de sécurité et gardiennage,39 599 733 DH,2025-08-09,Caisse Nationale de Sécurité Sociale,"52, boulevard de Picard, Mohammedia",+33 1 56 36 79 82,+33 6 38 02 52 64,353 jours,93 jours,260 jours,Procuration (si applicable); Caution provisoire; Registre de commerce,Planning d'exécution; Note technique détaillée; Attestations de formation,Acte d'engagement; Attestation bancaire; Bilan des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié,Ingénieur d'État,16 ans,Expertise sectorielle; Gestion de projet; Analyse technique,Master en management,7 ans,Expertise sectorielle; Management d'équipe; Formation,Ingénieur d'État,20 ans,Formation; Gestion de projet; Expertise sectorielle; Contrôle qualité,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-5625,Fourniture et installation de matériel informatique,20 473 433 DH,2025-08-11,Ministère de l'Éducation,"29, chemin de Toussaint, Nador",0176085977,0149111983,91 jours,34 jours,57 jours,Caution provisoire; Attestation CNSS; Procuration (si applicable),Références similaires; Planning d'exécution; Certificats de conformité; CV des intervenants,Bilan des 3 dernières années; Devis quantitatif et estimatif; Attestation bancaire,Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH,Ingénieur d'État,5 ans,Expertise sectorielle; Analyse technique; Normes ISO; Audit technique; Gestion de projet,Master en management,11 ans,Contrôle qualité; Normes ISO; Audit technique,Doctorat,9 ans,Analyse technique; Expertise sectorielle; Contrôle qualité; Normes ISO,68%,32%,60%,68%,32%,True,www.marchespublics.gov.ma
AO-2025-5901,Travaux de construction d'un centre de santé,26 205 623 DH,2025-07-17,Ministère de l'Éducation,"avenue Andre, Agadir",+33 (0)1 34 07 60 95,0457482548,177 jours,77 jours,100 jours,Attestation CNSS; Certificat de qualification et classification; Attestation fiscale,Certificats de conformité; Note technique détaillée; Planning d'exécution; Références similaires,Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années; Attestation bancaire,Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié,Master spécialisé,14 ans,Analyse technique; Audit technique; Contrôle qualité; Formation; Gestion de projet,MBA,17 ans,Normes ISO; Gestion de projet; Contrôle qualité,MBA,15 ans,Expertise sectorielle; Contrôle qualité; Formation; Normes ISO,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-1477,Travaux de rénovation de bâtiments,19 244 604 DH,2025-07-25,Royal Air Maroc,"595, chemin de Costa, Agadir",+33 2 57 94 44 31,0251900115,266 jours,28 jours,238 jours,Attestation CNSS; Attestation fiscale; Registre de commerce; Caution provisoire; Procuration (si applicable),CV des intervenants; Références similaires; Certificats de conformité; Attestations de formation; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Attestation bancaire; Bilan des 3 dernières années; Acte d'engagement,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce,MBA,14 ans,Planification; Normes ISO; Audit technique,Master en management,18 ans,Analyse technique; Audit technique; Contrôle qualité,Doctorat,14 ans,Management d'équipe; Expertise sectorielle; Analyse technique; Normes ISO; Gestion de projet,76%,24%,60%,76%,24%,True,www.marchespublics.gov.ma
AO-2025-9494,Prestation de services de nettoyage,19 286 359 DH,2025-07-17,Caisse Nationale de Sécurité Sociale,"46, boulevard de Leroy, Beni Mellal",04 91 46 92 77,+33 6 51 52 37 40,68 jours,23 jours,45 jours,Procuration (si applicable); Certificat de qualification et classification; Registre de commerce; Attestation fiscale,CV des intervenants; Planning d'exécution; Références similaires; Attestations de formation,Devis quantitatif et estimatif; Bilan des 3 dernières années; Attestation bancaire,Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié,Master en management,15 ans,Normes ISO; Gestion de projet; Analyse technique; Planification,Ingénieur d'État,18 ans,Normes ISO; Audit technique; Analyse technique,Master en management,11 ans,Planification; Formation; Expertise sectorielle; Gestion de projet; Management d'équipe,64%,36%,60%,64%,36%,True,www.marchespublics.gov.ma
AO-2025-9923,Travaux de construction d'un centre de santé,10 018 043 DH,2025-07-25,Office National des Aéroports,"58, boulevard de Poirier, Tétouan",0478714732,+33 4 56 14 52 12,306 jours,135 jours,171 jours,Attestation CNSS; Caution provisoire; Certificat de qualification et classification,Certificats de conformité; Planning d'exécution; Attestations de formation,Attestation bancaire; Bilan des 3 dernières années; Bordereau des prix unitaires; Acte d'engagement,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH,Doctorat,15 ans,Formation; Normes ISO; Expertise sectorielle; Management d'équipe,Diplôme d'ingénieur,17 ans,Planification; Gestion de projet; Management d'équipe; Analyse technique; Audit technique,MBA,12 ans,Formation; Normes ISO; Analyse technique,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-3410,Étude technique pour l'aménagement urbain,23 060 255 DH,2025-08-07,Office National des Aéroports,"52, boulevard Seguin, Fès",+33 3 62 82 54 70,+33 (0)1 74 88 68 20,322 jours,129 jours,193 jours,Registre de commerce; Attestation fiscale; Procuration (si applicable); Certificat de qualification et classification; Caution provisoire,Certificats de conformité; Planning d'exécution; Note technique détaillée,Bilan des 3 dernières années; Attestation bancaire; Chiffre d'affaires des 3 dernières années; Acte d'engagement,Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,Ingénieur d'État,8 ans,Expertise sectorielle; Planification; Contrôle qualité; Formation; Audit technique,Diplôme d'ingénieur,18 ans,Management d'équipe; Gestion de projet; Audit technique; Formation,Master spécialisé,6 ans,Planification; Expertise sectorielle; Contrôle qualité; Audit technique; Formation,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-8925,Fourniture et installation de matériel informatique,38 152 900 DH,2025-07-22,Office National des Aéroports,"avenue Brun, Agadir",02 21 03 60 25,0466493777,301 jours,122 jours,179 jours,Procuration (si applicable); Certificat de qualification et classification; Attestation fiscale; Attestation CNSS; Caution provisoire,Planning d'exécution; Références similaires; Attestations de formation,Attestation bancaire; Bilan des 3 dernières années; Devis quantitatif et estimatif; Acte d'engagement,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum,Master spécialisé,11 ans,Management d'équipe; Audit technique; Gestion de projet,Master spécialisé,6 ans,Expertise sectorielle; Formation; Management d'équipe; Audit technique,Diplôme d'ingénieur,14 ans,Planification; Gestion de projet; Formation; Normes ISO; Expertise sectorielle,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-1719,Travaux de construction d'un centre de santé,8 810 606 DH,2025-07-25,Barid Al-Maghrib,"73, rue Monique Baron, El Jadida",01 55 18 51 08,0247238358,278 jours,114 jours,164 jours,Registre de commerce; Attestation CNSS; Certificat de qualification et classification,CV des intervenants; Planning d'exécution; Références similaires; Attestations de formation,Acte d'engagement; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,Master spécialisé,19 ans,Formation; Normes ISO; Contrôle qualité; Management d'équipe; Audit technique,Doctorat,7 ans,Normes ISO; Audit technique; Contrôle qualité; Formation; Management d'équipe,Master spécialisé,6 ans,Contrôle qualité; Normes ISO; Gestion de projet,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-6115,Prestation de services de nettoyage,873 318 DH,2025-08-06,Office National des Chemins de Fer,"4, avenue Aimée Marchand, Safi",+33 (0)1 30 93 72 55,02 79 27 24 26,185 jours,31 jours,154 jours,Caution provisoire; Registre de commerce; Attestation CNSS; Attestation fiscale,CV des intervenants; Planning d'exécution; Références similaires,Chiffre d'affaires des 3 dernières années; Acte d'engagement; Bordereau des prix unitaires,Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé,Doctorat,6 ans,Expertise sectorielle; Planification; Formation,Doctorat,9 ans,Planification; Formation; Management d'équipe; Contrôle qualité; Normes ISO,Ingénieur d'État,14 ans,Audit technique; Contrôle qualité; Gestion de projet; Analyse technique,67%,33%,60%,67%,33%,True,www.marchespublics.gov.ma
AO-2025-4129,Maintenance des équipements électriques,29 043 718 DH,2025-07-29,Royal Air Maroc,"7, rue Madeleine Boulanger, Tétouan",0365163200,0222973444,271 jours,29 jours,242 jours,Caution provisoire; Registre de commerce; Certificat de qualification et classification; Procuration (si applicable); Attestation CNSS,Références similaires; Certificats de conformité; CV des intervenants; Planning d'exécution; Attestations de formation,Bordereau des prix unitaires; Bilan des 3 dernières années; Acte d'engagement,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,Master spécialisé,12 ans,Management d'équipe; Formation; Planification; Normes ISO; Audit technique,Master spécialisé,15 ans,Planification; Audit technique; Management d'équipe; Contrôle qualité; Analyse technique,Diplôme d'ingénieur,13 ans,Audit technique; Planification; Normes ISO,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-4797,Étude technique pour l'aménagement urbain,49 271 425 DH,2025-07-17,Office National de l'Électricité et de l'Eau Potable,"80, chemin Marcelle Moreau, Mohammedia",+33 5 34 98 78 71,+33 (0)2 37 79 47 17,262 jours,78 jours,184 jours,Certificat de qualification et classification; Attestation CNSS; Caution provisoire; Registre de commerce,Attestations de formation; Certificats de conformité; Note technique détaillée; CV des intervenants; Références similaires,Bordereau des prix unitaires; Bilan des 3 dernières années; Acte d'engagement; Attestation bancaire,Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Être inscrit au registre de commerce,Master en management,5 ans,Analyse technique; Contrôle qualité; Audit technique; Normes ISO,Master spécialisé,20 ans,Management d'équipe; Planification; Analyse technique; Expertise sectorielle,Master en management,16 ans,Planification; Gestion de projet; Expertise sectorielle; Management d'équipe,62%,38%,60%,62%,38%,True,www.marchespublics.gov.ma
AO-2025-5895,Prestation de services de nettoyage,39 916 351 DH,2025-07-20,Caisse Nationale de Sécurité Sociale,"43, rue de Boyer, Safi",0636088020,08 08 94 79 36,344 jours,79 jours,265 jours,Certificat de qualification et classification; Attestation CNSS; Caution provisoire; Procuration (si applicable); Registre de commerce,Attestations de formation; Certificats de conformité; Références similaires,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Devis quantitatif et estimatif,Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales,Ingénieur d'État,17 ans,Gestion de projet; Planification; Analyse technique; Normes ISO,Ingénieur d'État,16 ans,Normes ISO; Formation; Contrôle qualité; Management d'équipe; Analyse technique,Master spécialisé,10 ans,Normes ISO; Management d'équipe; Analyse technique; Gestion de projet,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-2422,Travaux de construction d'un centre de santé,35 086 383 DH,2025-08-08,Office National de l'Électricité et de l'Eau Potable,"rue Becker, Agadir",04 37 23 98 46,03 26 68 49 83,200 jours,40 jours,160 jours,Procuration (si applicable); Registre de commerce; Certificat de qualification et classification,Certificats de conformité; CV des intervenants; Note technique détaillée; Planning d'exécution; Attestations de formation,Attestation bancaire; Acte d'engagement; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce,Master en management,14 ans,Planification; Contrôle qualité; Audit technique,Master spécialisé,16 ans,Analyse technique; Expertise sectorielle; Normes ISO; Gestion de projet; Formation,Doctorat,13 ans,Audit technique; Expertise sectorielle; Contrôle qualité; Formation,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-4401,Étude technique pour l'aménagement urbain,5 585 262 DH,2025-07-20,Agence Nationale de la Conservation Foncière,"93, rue Emmanuel Chauvin, Beni Mellal",0326654562,06 07 99 92 97,347 jours,108 jours,239 jours,Certificat de qualification et classification; Registre de commerce; Attestation CNSS; Caution provisoire,CV des intervenants; Références similaires; Attestations de formation; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Bilan des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce,Ingénieur d'État,19 ans,Audit technique; Analyse technique; Contrôle qualité; Formation,MBA,9 ans,Formation; Analyse technique; Contrôle qualité,MBA,20 ans,Analyse technique; Planification; Management d'équipe; Formation; Normes ISO,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-9300,Fourniture de véhicules administratifs,31 236 719 DH,2025-07-31,Caisse Nationale de Sécurité Sociale,"1, boulevard Stéphanie Gomez, El Jadida",+33 4 69 20 84 82,0495264654,221 jours,49 jours,172 jours,Attestation CNSS; Attestation fiscale; Registre de commerce; Certificat de qualification et classification,Références similaires; Planning d'exécution; CV des intervenants; Certificats de conformité; Note technique détaillée,Devis quantitatif et estimatif; Bilan des 3 dernières années; Attestation bancaire,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié,MBA,10 ans,Analyse technique; Expertise sectorielle; Management d'équipe,Master en management,16 ans,Management d'équipe; Analyse technique; Expertise sectorielle; Contrôle qualité,Ingénieur d'État,15 ans,Normes ISO; Expertise sectorielle; Planification,64%,36%,60%,64%,36%,True,www.marchespublics.gov.ma
AO-2025-1097,Fourniture de produits pharmaceutiques,620 788 DH,2025-07-16,Ministère de l'Éducation,"27, avenue Marc Bertrand, El Jadida",02 33 36 03 74,+33 3 83 30 91 92,194 jours,32 jours,162 jours,Caution provisoire; Attestation CNSS; Registre de commerce,Certificats de conformité; Note technique détaillée; CV des intervenants; Planning d'exécution; Attestations de formation,Attestation bancaire; Devis quantitatif et estimatif; Bordereau des prix unitaires; Bilan des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,Doctorat,9 ans,Contrôle qualité; Planification; Audit technique; Analyse technique; Expertise sectorielle,Diplôme d'ingénieur,10 ans,Management d'équipe; Planification; Audit technique,Doctorat,14 ans,Formation; Audit technique; Management d'équipe,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-7349,Fourniture et installation de matériel informatique,46 683 850 DH,2025-08-11,Office National de l'Électricité et de l'Eau Potable,"389, rue Guibert, Marrakech",0233544661,+33 1 42 84 51 16,98 jours,45 jours,53 jours,Attestation CNSS; Attestation fiscale; Caution provisoire; Procuration (si applicable),Attestations de formation; Certificats de conformité; Références similaires; CV des intervenants,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Bordereau des prix unitaires; Acte d'engagement,Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum,MBA,12 ans,Management d'équipe; Planification; Contrôle qualité; Analyse technique,Ingénieur d'État,13 ans,Management d'équipe; Analyse technique; Formation; Gestion de projet,Ingénieur d'État,18 ans,Management d'équipe; Normes ISO; Formation; Planification,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-7593,Fourniture de véhicules administratifs,21 928 862 DH,2025-08-04,Caisse Nationale de Sécurité Sociale,"554, chemin Parent, Casablanca",0488364609,+33 2 99 98 80 96,77 jours,21 jours,56 jours,Registre de commerce; Certificat de qualification et classification; Attestation fiscale,Note technique détaillée; CV des intervenants; Attestations de formation; Certificats de conformité,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH,MBA,8 ans,Normes ISO; Analyse technique; Expertise sectorielle; Contrôle qualité; Gestion de projet,Diplôme d'ingénieur,18 ans,Planification; Gestion de projet; Expertise sectorielle; Audit technique; Formation,Doctorat,18 ans,Gestion de projet; Planification; Analyse technique; Contrôle qualité; Expertise sectorielle,60%,40%,60%,60%,40%,True,www.marchespublics.gov.ma
AO-2025-3260,Fourniture de produits pharmaceutiques,22 558 931 DH,2025-08-02,Barid Al-Maghrib,"13, boulevard de Mahe, El Jadida",+33 (0)4 13 04 31 57,+33 1 81 61 52 06,323 jours,32 jours,291 jours,Attestation CNSS; Procuration (si applicable); Certificat de qualification et classification,Note technique détaillée; Références similaires; Certificats de conformité; Attestations de formation; Planning d'exécution,Attestation bancaire; Bilan des 3 dernières années; Bordereau des prix unitaires,Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH,Master en management,8 ans,Planification; Gestion de projet; Contrôle qualité; Normes ISO; Expertise sectorielle,MBA,14 ans,Analyse technique; Contrôle qualité; Formation; Management d'équipe; Gestion de projet,Diplôme d'ingénieur,15 ans,Formation; Audit technique; Planification; Expertise sectorielle,60%,40%,60%,60%,40%,True,www.marchespublics.gov.ma
AO-2025-6526,Prestation de services de nettoyage,13 206 104 DH,2025-07-21,Caisse Nationale de Sécurité Sociale,"15, avenue Josette Lopes, Khouribga",+33 2 76 36 62 20,01 80 30 55 80,232 jours,37 jours,195 jours,Certificat de qualification et classification; Procuration (si applicable); Registre de commerce,Planning d'exécution; Références similaires; CV des intervenants; Attestations de formation; Certificats de conformité,Bordereau des prix unitaires; Attestation bancaire; Bilan des 3 dernières années; Devis quantitatif et estimatif,Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales,Ingénieur d'État,11 ans,Management d'équipe; Expertise sectorielle; Contrôle qualité; Audit technique,MBA,13 ans,Formation; Expertise sectorielle; Gestion de projet; Planification,MBA,11 ans,Contrôle qualité; Audit technique; Management d'équipe,78%,22%,60%,78%,22%,True,www.marchespublics.gov.ma
AO-2025-2153,Étude technique pour l'aménagement urbain,5 534 659 DH,2025-07-30,Royal Air Maroc,"85, avenue Eugène Albert, Safi",03 58 81 71 48,0738110412,61 jours,28 jours,33 jours,Certificat de qualification et classification; Attestation fiscale; Caution provisoire,Planning d'exécution; CV des intervenants; Références similaires; Certificats de conformité; Attestations de formation,Attestation bancaire; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum,Doctorat,15 ans,Normes ISO; Audit technique; Analyse technique; Gestion de projet; Planification,Master en management,14 ans,Formation; Contrôle qualité; Planification; Management d'équipe; Normes ISO,Doctorat,20 ans,Contrôle qualité; Expertise sectorielle; Management d'équipe; Analyse technique; Normes ISO,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-1403,Fourniture de mobilier de bureau,6 051 403 DH,2025-08-07,Office National des Aéroports,"chemin de Cordier, Safi",0565484704,0637450550,110 jours,27 jours,83 jours,Registre de commerce; Caution provisoire; Attestation CNSS,CV des intervenants; Attestations de formation; Planning d'exécution,Bordereau des prix unitaires; Devis quantitatif et estimatif; Attestation bancaire,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH,Diplôme d'ingénieur,5 ans,Formation; Audit technique; Management d'équipe; Contrôle qualité; Expertise sectorielle,Ingénieur d'État,14 ans,Normes ISO; Formation; Planification; Audit technique; Analyse technique,Ingénieur d'État,15 ans,Management d'équipe; Formation; Audit technique; Expertise sectorielle,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-9475,Travaux de construction d'un centre de santé,28 113 208 DH,2025-07-31,Barid Al-Maghrib,"58, rue Arthur Guillaume, Agadir",+33 2 85 06 87 87,+33 (0)2 30 34 97 66,103 jours,45 jours,58 jours,Caution provisoire; Registre de commerce; Certificat de qualification et classification,Planning d'exécution; Attestations de formation; Certificats de conformité; Références similaires,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Acte d'engagement,Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié,Master en management,9 ans,Planification; Expertise sectorielle; Analyse technique; Normes ISO,Master en management,5 ans,Normes ISO; Planification; Analyse technique; Audit technique,Master spécialisé,10 ans,Analyse technique; Audit technique; Management d'équipe,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
AO-2025-7221,Fourniture et installation de matériel informatique,4 562 453 DH,2025-08-08,Ministère de l'Éducation,"2, rue Geneviève Barthelemy, Kenitra",0142074950,+33 (0)4 42 19 51 77,147 jours,62 jours,85 jours,Registre de commerce; Certificat de qualification et classification; Procuration (si applicable); Attestation fiscale; Caution provisoire,Certificats de conformité; CV des intervenants; Attestations de formation; Note technique détaillée; Planning d'exécution,Bilan des 3 dernières années; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales,Master en management,15 ans,Gestion de projet; Formation; Audit technique; Management d'équipe; Contrôle qualité,Ingénieur d'État,15 ans,Formation; Contrôle qualité; Analyse technique,Ingénieur d'État,17 ans,Analyse technique; Planification; Normes ISO; Management d'équipe,62%,38%,60%,62%,38%,True,www.marchespublics.gov.ma
AO-2025-3230,Travaux de rénovation de bâtiments,48 971 110 DH,2025-08-04,Office National des Chemins de Fer,"3, rue de Barbier, Beni Mellal",04 95 14 33 36,03 57 09 93 61,64 jours,27 jours,37 jours,Registre de commerce; Procuration (si applicable); Attestation CNSS; Attestation fiscale; Certificat de qualification et classification,Note technique détaillée; Certificats de conformité; Planning d'exécution,Bilan des 3 dernières années; Devis quantitatif et estimatif; Acte d'engagement; Attestation bancaire,Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé,MBA,9 ans,Management d'équipe; Expertise sectorielle; Gestion de projet; Planification,Master spécialisé,13 ans,Normes ISO; Management d'équipe; Audit technique; Contrôle qualité; Gestion de projet,MBA,5 ans,Management d'équipe; Contrôle qualité; Audit technique,60%,40%,60%,60%,40%,True,www.marchespublics.gov.ma
